campaign_id,campaign_name,channel,promo_type,start_date,end_date,budget_rmb,actual_spend_rmb,target_category,status,created_by
CAMP0019,捆绑活动_0019,电商平台,新品推广,2024-11-01,2024-11-23,48815.98,42958.06,着色系列,已完成,张伟
CAMP0020,折扣活动_0020,电商平台,捆绑,2025-09-01,2025-10-18,16480.38,10547.44,着色系列,已完成,刘洋
CAMP0021,新品推广活动_0021,展会,满减,2025-01-01,2025-02-11,30800.81,22176.58,玻璃包银系列,进行中,李娜
CAMP0022,捆绑活动_0022,直销,满减,2024-11-01,2024-11-14,133501.64,110806.36,磁性珠光,已完成,张伟
CAMP0023,折扣活动_0023,线下门店,买赠,2025-04-01,2025-05-24,71164.01,49814.81,着色变色龙,已完成,刘洋
CAMP0024,折扣活动_0024,直销,新品推广,2024-12-01,2024-12-25,95212.47,61888.11,金色系列,已完成,李娜
CAMP0025,买赠活动_0025,直销,折扣,2024-12-01,2025-01-03,99700.02,67796.01,金色系列,进行中,王芳
CAMP0026,满减活动_0026,展会,满减,2025-10-01,2025-11-27,93726.63,63734.11,水晶系列,已完成,张伟
CAMP0027,捆绑活动_0027,电商平台,折扣,2025-07-01,2025-08-24,110728.06,98547.97,钻石系列,已完成,张伟
CAMP0028,折扣活动_0028,线下门店,满减,2025-11-01,2025-11-19,18361.66,12118.7,着色系列,计划中,张伟
CAMP0029,新品推广活动_0029,展会,新品推广,2025-07-01,2025-07-13,86748.86,65929.13,玻璃变色龙,已完成,王芳
CAMP0030,捆绑活动_0030,直销,捆绑,2025-01-01,2025-01-24,82178.24,87108.93,其他,已完成,刘洋
CAMP0031,折扣活动_0031,展会,买赠,2025-07-01,2025-08-13,199238.81,169352.99,超白系列,已完成,张伟
CAMP0032,满减活动_0032,展会,捆绑,2025-01-01,2025-01-31,60572.54,55121.01,金色系列,计划中,王芳
CAMP0033,买赠活动_0033,经销商,折扣,2025-08-01,2025-08-14,188091.35,195615.0,超白系列,已完成,王芳
CAMP0034,买赠活动_0034,经销商,新品推广,2025-07-01,2025-07-21,144934.38,121744.88,磁性珠光,已完成,刘洋
CAMP0035,捆绑活动_0035,线下门店,捆绑,2025-11-01,2025-11-25,13596.92,9245.91,着色变色龙,计划中,刘洋
CAMP0036,买赠活动_0036,展会,折扣,2025-06-01,2025-06-08,26815.41,27351.72,超白系列,进行中,李娜
CAMP0037,折扣活动_0037,经销商,买赠,2024-10-01,2024-10-27,76107.05,71540.63,金属彩光系列,已完成,刘洋
CAMP0038,买赠活动_0038,线下门店,买赠,2025-07-01,2025-08-24,35137.9,36543.42,金色系列,已完成,王芳
CAMP0039,买赠活动_0039,经销商,买赠,2025-10-01,2025-11-03,161435.85,159821.49,金属彩光系列,进行中,张伟
CAMP0040,满减活动_0040,经销商,捆绑,2025-11-01,2025-11-30,48374.57,48858.32,着色系列,已完成,张伟
CAMP0041,捆绑活动_0041,电商平台,捆绑,2025-08-01,2025-08-20,82700.87,64506.68,银白系列,计划中,王芳
CAMP0042,捆绑活动_0042,线下门店,新品推广,2024-10-01,2024-10-15,176022.49,190104.29,玻璃变色龙,已完成,张伟
CAMP0043,捆绑活动_0043,直销,新品推广,2025-07-01,2025-08-04,72408.99,78925.8,金属彩光系列,进行中,李娜
CAMP0044,折扣活动_0044,展会,新品推广,2025-02-01,2025-02-10,143213.13,134620.34,耐候系列,已完成,刘洋
CAMP0045,新品推广活动_0045,经销商,折扣,2024-11-01,2024-12-20,184550.32,177168.31,水晶系列,计划中,王芳
CAMP0046,捆绑活动_0046,展会,买赠,2025-08-01,2025-09-03,68605.67,48023.97,银白系列,已完成,王芳
CAMP0047,捆绑活动_0047,经销商,买赠,2025-04-01,2025-05-13,167576.41,135736.89,化妆品系列,进行中,刘洋
CAMP0048,满减活动_0048,线下门店,折扣,2025-05-01,2025-06-20,46671.77,34537.11,化妆品系列,已完成,李娜
CAMP0049,买赠活动_0049,线下门店,折扣,2025-08-01,2025-08-27,48804.93,30259.06,玻璃包银系列,计划中,张伟
CAMP0050,新品推广活动_0050,线下门店,满减,2025-05-01,2025-06-03,177796.7,151127.2,着色系列,已完成,张伟
CAMP0051,满减活动_0051,线下门店,买赠,2025-10-01,2025-11-26,177665.72,177665.72,着色变色龙,已完成,李娜
CAMP0052,满减活动_0052,展会,新品推广,2025-11-01,2025-11-15,94010.06,84609.05,着色变色龙,计划中,刘洋
CAMP0053,买赠活动_0053,直销,满减,2025-11-01,2025-11-30,91953.15,67125.8,着色系列,已完成,刘洋
CAMP0054,折扣活动_0054,经销商,买赠,2025-08-01,2025-08-23,58546.5,43324.41,化妆品系列,计划中,张伟
CAMP0055,买赠活动_0055,线下门店,折扣,2024-12-01,2024-12-17,50095.99,40577.75,化妆品系列,计划中,刘洋
CAMP0056,满减活动_0056,直销,新品推广,2025-04-01,2025-04-11,45332.71,48506.0,金色系列,计划中,刘洋
CAMP0057,捆绑活动_0057,直销,满减,2025-05-01,2025-05-08,188834.62,164286.12,着色系列,进行中,李娜
CAMP0058,满减活动_0058,经销商,满减,2025-02-01,2025-03-07,99700.19,95712.18,着色变色龙,已完成,张伟
CAMP0059,折扣活动_0059,电商平台,满减,2025-04-01,2025-05-15,115056.44,77087.81,着色变色龙,已完成,张伟
CAMP0060,满减活动_0060,经销商,捆绑,2025-02-01,2025-03-04,68833.77,67457.09,银白系列,已完成,刘洋
CAMP0061,折扣活动_0061,展会,折扣,2025-02-01,2025-04-02,20971.72,23068.89,云母粉,已完成,张伟
CAMP0062,折扣活动_0062,线下门店,买赠,2025-10-01,2025-11-18,12850.34,13107.35,超白系列,已完成,李娜
CAMP0063,买赠活动_0063,直销,捆绑,2025-05-01,2025-06-19,27305.94,26759.82,钻石系列,计划中,张伟
CAMP0064,捆绑活动_0064,电商平台,新品推广,2025-10-01,2025-11-29,36934.33,22529.94,水晶系列,计划中,刘洋
CAMP0065,新品推广活动_0065,线下门店,折扣,2025-04-01,2025-05-23,43674.31,41490.59,水晶系列,计划中,张伟
CAMP0066,捆绑活动_0066,展会,满减,2025-10-01,2025-11-13,157613.89,146580.92,其他,计划中,王芳
CAMP0067,折扣活动_0067,直销,捆绑,2024-10-01,2024-11-03,165354.53,152126.17,着色变色龙,已完成,刘洋
CAMP0068,捆绑活动_0068,展会,新品推广,2024-12-01,2025-01-23,106740.62,105673.21,着色变色龙,进行中,王芳
CAMP0069,折扣活动_0069,经销商,满减,2025-03-01,2025-03-23,166992.55,120234.64,着色变色龙,计划中,刘洋
CAMP0070,捆绑活动_0070,线下门店,满减,2025-03-01,2025-03-09,101389.77,71986.74,玻璃变色龙,已完成,王芳
CAMP0071,新品推广活动_0071,电商平台,新品推广,2025-07-01,2025-08-21,176620.93,188984.4,其他,已完成,刘洋
CAMP0072,满减活动_0072,直销,满减,2025-05-01,2025-06-12,152842.11,152842.11,其他,已完成,李娜
CAMP0073,新品推广活动_0073,经销商,满减,2025-04-01,2025-05-22,52444.51,46151.17,云母粉,进行中,王芳
CAMP0074,捆绑活动_0074,经销商,买赠,2025-03-01,2025-04-21,93480.33,61697.02,耐候系列,已完成,张伟
CAMP0075,买赠活动_0075,线下门店,买赠,2025-09-01,2025-10-12,190421.12,184708.49,玻璃变色龙,计划中,王芳
CAMP0076,买赠活动_0076,经销商,买赠,2024-11-01,2024-12-31,42852.93,32139.7,超白系列,已完成,张伟
CAMP0077,买赠活动_0077,直销,折扣,2024-10-01,2024-11-12,61966.65,64445.32,水晶系列,进行中,刘洋
CAMP0078,折扣活动_0078,经销商,满减,2025-05-01,2025-05-29,40950.92,27027.61,其他,进行中,刘洋
CAMP0079,折扣活动_0079,线下门店,买赠,2024-11-01,2024-12-14,127741.91,129019.33,水晶系列,已完成,李娜
CAMP0080,新品推广活动_0080,展会,新品推广,2024-11-01,2024-12-13,154066.47,109387.19,银白系列,进行中,刘洋
CAMP0081,捆绑活动_0081,展会,新品推广,2025-02-01,2025-03-17,198056.1,124775.34,金属彩光系列,已完成,李娜
CAMP0082,买赠活动_0082,线下门店,新品推广,2025-02-01,2025-03-22,20831.56,13332.2,金色系列,进行中,刘洋
CAMP0083,折扣活动_0083,线下门店,捆绑,2025-09-01,2025-10-16,96632.93,91801.28,着色变色龙,已完成,李娜
CAMP0084,新品推广活动_0084,线下门店,满减,2025-02-01,2025-03-30,159293.31,105133.58,着色系列,已完成,王芳
CAMP0085,买赠活动_0085,经销商,新品推广,2025-11-01,2025-11-17,18924.92,18357.17,水晶系列,进行中,张伟
CAMP0086,满减活动_0086,经销商,新品推广,2025-05-01,2025-06-21,64297.78,55939.07,着色变色龙,已完成,张伟
CAMP0087,捆绑活动_0087,电商平台,折扣,2025-04-01,2025-05-25,67852.71,48175.42,金色系列,已完成,张伟
CAMP0088,新品推广活动_0088,直销,捆绑,2025-10-01,2025-11-25,39162.19,27021.91,虹彩系列,进行中,张伟
CAMP0089,捆绑活动_0089,电商平台,买赠,2025-05-01,2025-05-30,84627.88,64317.19,玻璃包银系列,已完成,刘洋
CAMP0090,满减活动_0090,电商平台,捆绑,2025-11-01,2025-11-30,112268.84,81956.25,金属彩光系列,进行中,张伟
CAMP0091,折扣活动_0091,线下门店,新品推广,2025-08-01,2025-09-11,95085.39,74166.6,玻璃包银系列,进行中,张伟
CAMP0092,捆绑活动_0092,直销,满减,2025-01-01,2025-01-25,112097.83,73984.57,着色系列,已完成,王芳
CAMP0093,折扣活动_0093,线下门店,折扣,2025-06-01,2025-06-08,112689.02,93531.89,金属彩光系列,已完成,刘洋
CAMP0094,捆绑活动_0094,直销,满减,2025-09-01,2025-09-26,104230.04,113610.74,着色系列,进行中,李娜
CAMP0095,新品推广活动_0095,线下门店,折扣,2025-04-01,2025-04-20,184764.29,136725.57,虹彩系列,已完成,王芳
CAMP0096,捆绑活动_0096,展会,新品推广,2025-11-01,2025-11-08,60153.6,66168.96,玻璃包银系列,已完成,刘洋
CAMP0097,新品推广活动_0097,展会,满减,2025-06-01,2025-07-08,72299.17,60008.31,化妆品系列,已完成,李娜
CAMP0098,满减活动_0098,电商平台,捆绑,2025-07-01,2025-08-01,50544.68,49028.34,银白系列,进行中,李娜
CAMP0099,新品推广活动_0099,经销商,折扣,2025-05-01,2025-05-10,29618.02,30802.74,着色变色龙,已完成,刘洋
CAMP0100,买赠活动_0100,电商平台,满减,2024-10-01,2024-11-23,33110.31,32779.21,玻璃变色龙,已完成,刘洋
CAMP0101,新品推广活动_0101,直销,捆绑,2025-08-01,2025-08-13,171094.23,155695.75,玻璃包银系列,计划中,张伟
CAMP0102,捆绑活动_0102,线下门店,折扣,2025-07-01,2025-07-12,50780.2,41639.76,金属彩光系列,已完成,刘洋
CAMP0103,折扣活动_0103,电商平台,捆绑,2024-12-01,2025-01-21,63395.89,63395.89,水晶系列,已完成,王芳
CAMP0104,满减活动_0104,展会,买赠,2025-04-01,2025-04-17,52618.5,35780.58,其他,计划中,刘洋
CAMP0105,新品推广活动_0105,线下门店,买赠,2025-07-01,2025-08-20,51961.81,43128.3,玻璃变色龙,进行中,王芳
CAMP0106,满减活动_0106,经销商,新品推广,2025-08-01,2025-08-08,180287.16,122595.27,着色变色龙,已完成,王芳
CAMP0107,满减活动_0107,经销商,买赠,2025-08-01,2025-09-04,139611.13,153572.24,玻璃包银系列,已完成,李娜
CAMP0108,捆绑活动_0108,经销商,折扣,2025-04-01,2025-05-14,74997.04,81746.77,银白系列,已完成,张伟
CAMP0109,折扣活动_0109,展会,满减,2025-07-01,2025-08-20,156770.77,159906.19,水晶系列,已完成,王芳
CAMP0110,捆绑活动_0110,线下门店,折扣,2025-01-01,2025-02-17,42075.74,44179.53,磁性珠光,已完成,刘洋
CAMP0111,买赠活动_0111,电商平台,捆绑,2024-10-01,2024-11-14,76147.94,57872.43,虹彩系列,已完成,李娜
CAMP0112,捆绑活动_0112,展会,新品推广,2024-12-01,2025-01-27,110184.51,116795.58,钻石系列,已完成,刘洋
CAMP0113,捆绑活动_0113,电商平台,满减,2025-10-01,2025-10-26,150579.07,162625.4,超白系列,已完成,刘洋
CAMP0114,折扣活动_0114,直销,折扣,2025-11-01,2025-11-30,113675.96,82983.45,金属彩光系列,进行中,王芳
CAMP0115,新品推广活动_0115,直销,捆绑,2025-08-01,2025-09-24,136106.46,88469.2,着色系列,进行中,张伟
CAMP0116,新品推广活动_0116,线下门店,折扣,2025-07-01,2025-08-12,68961.22,63444.32,着色变色龙,已完成,刘洋
CAMP0117,折扣活动_0117,经销商,满减,2024-11-01,2024-11-16,13842.63,9136.14,着色系列,计划中,李娜
CAMP0118,新品推广活动_0118,直销,新品推广,2025-04-01,2025-05-07,77347.25,75026.83,超白系列,进行中,张伟
CAMP0119,捆绑活动_0119,电商平台,捆绑,2025-11-01,2025-11-30,125052.18,88787.05,着色变色龙,已完成,王芳
CAMP0120,捆绑活动_0120,电商平台,满减,2024-11-01,2024-12-21,76630.32,56706.44,金属彩光系列,进行中,张伟
CAMP0121,新品推广活动_0121,电商平台,折扣,2025-08-01,2025-08-21,130132.37,128831.05,着色系列,已完成,李娜
CAMP0122,买赠活动_0122,展会,买赠,2024-11-01,2024-12-31,154205.69,155747.75,着色系列,已完成,李娜
CAMP0123,买赠活动_0123,线下门店,新品推广,2025-10-01,2025-11-15,5552.93,4053.64,钻石系列,已完成,张伟
CAMP0124,买赠活动_0124,展会,捆绑,2024-12-01,2024-12-08,74857.24,45662.92,玻璃变色龙,已完成,李娜
CAMP0125,折扣活动_0125,直销,满减,2025-09-01,2025-10-04,107586.68,106510.81,金属彩光系列,进行中,李娜
CAMP0126,新品推广活动_0126,经销商,满减,2025-07-01,2025-07-10,146812.38,135067.39,金色系列,已完成,刘洋
CAMP0127,折扣活动_0127,直销,满减,2025-11-01,2025-11-30,88123.36,56398.95,其他,已完成,李娜
CAMP0128,新品推广活动_0128,展会,捆绑,2024-11-01,2024-11-16,58628.12,46316.21,水晶系列,进行中,刘洋
CAMP0129,新品推广活动_0129,线下门店,满减,2024-11-01,2024-12-28,141846.99,117733.0,着色系列,进行中,王芳
CAMP0130,折扣活动_0130,经销商,满减,2025-11-01,2025-11-30,82752.39,62891.82,玻璃变色龙,已完成,李娜
CAMP0131,折扣活动_0131,电商平台,满减,2025-08-01,2025-09-07,18091.0,11759.15,云母粉,已完成,张伟
CAMP0132,折扣活动_0132,直销,捆绑,2025-07-01,2025-08-12,114528.26,119109.39,虹彩系列,已完成,王芳
CAMP0133,新品推广活动_0133,展会,买赠,2025-07-01,2025-07-27,73571.01,50028.29,玻璃包银系列,已完成,张伟
CAMP0134,捆绑活动_0134,展会,买赠,2025-03-01,2025-04-12,76674.4,76674.4,金色系列,计划中,王芳
CAMP0135,捆绑活动_0135,经销商,捆绑,2024-10-01,2024-10-19,58287.73,34972.64,超白系列,计划中,刘洋
CAMP0136,折扣活动_0136,电商平台,新品推广,2024-11-01,2024-11-17,149488.97,106137.17,虹彩系列,进行中,王芳
CAMP0137,捆绑活动_0137,展会,新品推广,2024-12-01,2024-12-31,65769.29,42092.35,磁性珠光,已完成,李娜
CAMP0138,折扣活动_0138,经销商,满减,2025-10-01,2025-11-16,14703.69,13674.43,玻璃包银系列,计划中,刘洋
CAMP0139,新品推广活动_0139,电商平台,捆绑,2025-04-01,2025-04-25,47035.95,38099.12,水晶系列,计划中,刘洋
CAMP0140,买赠活动_0140,直销,新品推广,2025-06-01,2025-07-20,65141.78,41039.32,耐候系列,已完成,李娜
CAMP0141,捆绑活动_0141,经销商,折扣,2025-10-01,2025-10-16,154011.37,92406.82,虹彩系列,已完成,李娜
CAMP0142,新品推广活动_0142,展会,捆绑,2025-04-01,2025-05-12,142215.9,91018.18,磁性珠光,进行中,张伟
CAMP0143,新品推广活动_0143,直销,新品推广,2025-05-01,2025-05-12,173111.45,138489.16,虹彩系列,已完成,张伟
CAMP0144,买赠活动_0144,展会,满减,2025-04-01,2025-04-09,193408.94,197277.12,云母粉,已完成,刘洋
CAMP0145,新品推广活动_0145,直销,新品推广,2025-11-01,2025-11-14,52446.71,33565.89,水晶系列,已完成,李娜
CAMP0146,新品推广活动_0146,电商平台,新品推广,2025-03-01,2025-04-26,37785.88,32118.0,云母粉,已完成,李娜
CAMP0147,买赠活动_0147,线下门店,新品推广,2025-01-01,2025-01-14,33556.62,22818.5,其他,已完成,刘洋
CAMP0148,新品推广活动_0148,直销,新品推广,2025-05-01,2025-06-25,114928.42,105734.15,化妆品系列,已完成,李娜
CAMP0149,捆绑活动_0149,经销商,新品推广,2025-05-01,2025-05-12,96439.61,60756.95,其他,已完成,刘洋
CAMP0150,捆绑活动_0150,电商平台,折扣,2025-05-01,2025-05-10,16093.56,14645.14,银白系列,进行中,张伟
CAMP0151,买赠活动_0151,经销商,新品推广,2025-05-01,2025-06-28,116473.05,97837.36,超白系列,已完成,刘洋
CAMP0152,捆绑活动_0152,电商平台,新品推广,2024-11-01,2024-12-29,180329.73,165903.35,磁性珠光,已完成,刘洋
CAMP0153,买赠活动_0153,经销商,捆绑,2025-05-01,2025-06-10,106935.87,113352.02,银白系列,进行中,王芳
CAMP0154,捆绑活动_0154,电商平台,捆绑,2025-08-01,2025-09-15,15211.28,9887.33,银白系列,已完成,王芳
CAMP0155,新品推广活动_0155,线下门店,捆绑,2025-09-01,2025-10-20,193059.96,123558.37,超白系列,已完成,王芳
CAMP0156,买赠活动_0156,展会,折扣,2025-08-01,2025-09-21,134116.36,100587.27,银白系列,已完成,李娜
CAMP0157,新品推广活动_0157,电商平台,满减,2025-08-01,2025-09-21,166647.0,141649.95,金色系列,已完成,王芳
CAMP0158,满减活动_0158,线下门店,买赠,2024-12-01,2024-12-21,71637.81,78801.59,超白系列,已完成,王芳
CAMP0159,新品推广活动_0159,展会,折扣,2025-11-01,2025-11-30,24722.45,22991.88,超白系列,计划中,刘洋
CAMP0160,新品推广活动_0160,线下门店,满减,2024-12-01,2024-12-18,40264.96,24964.28,云母粉,已完成,刘洋
CAMP0161,满减活动_0161,线下门店,新品推广,2025-07-01,2025-07-26,151716.28,109235.72,玻璃包银系列,已完成,王芳
CAMP0162,满减活动_0162,经销商,满减,2025-08-01,2025-09-13,196965.76,167420.9,虹彩系列,已完成,李娜
CAMP0163,捆绑活动_0163,电商平台,满减,2025-10-01,2025-11-15,31987.71,33267.22,金属彩光系列,计划中,张伟
CAMP0164,捆绑活动_0164,直销,新品推广,2025-02-01,2025-02-13,153807.78,103051.21,虹彩系列,已完成,李娜
CAMP0165,折扣活动_0165,直销,折扣,2025-11-01,2025-11-30,177502.81,142002.25,云母粉,已完成,刘洋
CAMP0166,捆绑活动_0166,电商平台,捆绑,2024-11-01,2024-12-01,48785.06,48785.06,超白系列,已完成,王芳
CAMP0167,买赠活动_0167,直销,满减,2025-11-01,2025-11-30,140734.04,128067.98,其他,已完成,王芳
CAMP0168,新品推广活动_0168,展会,满减,2025-01-01,2025-03-02,34156.33,22543.18,水晶系列,已完成,王芳
CAMP0169,新品推广活动_0169,直销,折扣,2024-11-01,2024-11-11,51495.7,33987.16,玻璃包银系列,计划中,张伟
CAMP0170,买赠活动_0170,经销商,满减,2025-08-01,2025-09-09,117134.25,70280.55,云母粉,已完成,刘洋
CAMP0171,新品推广活动_0171,经销商,折扣,2024-12-01,2025-01-19,135301.91,146126.06,金色系列,进行中,刘洋
CAMP0172,捆绑活动_0172,经销商,折扣,2024-10-01,2024-11-17,80441.86,62744.65,其他,已完成,李娜
CAMP0173,新品推广活动_0173,经销商,买赠,2025-09-01,2025-10-20,127510.11,79056.27,化妆品系列,已完成,刘洋
CAMP0174,买赠活动_0174,电商平台,满减,2025-09-01,2025-10-08,128188.49,79476.86,耐候系列,已完成,李娜
CAMP0175,新品推广活动_0175,直销,新品推广,2024-10-01,2024-10-28,187007.34,157086.17,磁性珠光,已完成,王芳
CAMP0176,捆绑活动_0176,经销商,折扣,2025-03-01,2025-04-26,14321.79,14321.79,虹彩系列,进行中,刘洋
CAMP0177,满减活动_0177,直销,捆绑,2025-04-01,2025-04-29,194876.1,206568.67,玻璃变色龙,已完成,刘洋
CAMP0178,买赠活动_0178,展会,捆绑,2024-11-01,2024-12-05,122478.39,93083.58,其他,已完成,王芳
CAMP0179,满减活动_0179,线下门店,满减,2025-02-01,2025-03-08,122511.22,95558.75,磁性珠光,已完成,刘洋
CAMP0180,折扣活动_0180,电商平台,满减,2025-02-01,2025-03-20,196105.32,152962.15,钻石系列,已完成,李娜
CAMP0181,满减活动_0181,电商平台,买赠,2025-11-01,2025-11-30,137227.33,86453.22,云母粉,已完成,刘洋
CAMP0182,满减活动_0182,经销商,捆绑,2025-07-01,2025-07-10,122993.49,100854.66,其他,计划中,李娜
CAMP0183,捆绑活动_0183,线下门店,折扣,2025-06-01,2025-07-01,82616.64,50396.15,钻石系列,进行中,刘洋
CAMP0184,捆绑活动_0184,直销,买赠,2025-06-01,2025-06-15,56046.45,61651.1,水晶系列,进行中,李娜
CAMP0185,满减活动_0185,线下门店,满减,2024-11-01,2024-11-16,171301.13,188431.24,化妆品系列,已完成,张伟
CAMP0186,捆绑活动_0186,线下门店,买赠,2025-06-01,2025-07-12,61620.65,61620.65,着色系列,已完成,李娜
CAMP0187,满减活动_0187,电商平台,捆绑,2025-10-01,2025-10-16,51163.56,45023.93,云母粉,进行中,李娜
CAMP0188,满减活动_0188,直销,新品推广,2025-07-01,2025-07-13,17820.88,14434.91,虹彩系列,计划中,张伟
CAMP0189,满减活动_0189,直销,新品推广,2024-12-01,2024-12-28,130256.02,100297.14,钻石系列,已完成,刘洋
CAMP0190,新品推广活动_0190,线下门店,捆绑,2025-06-01,2025-06-11,167121.21,113642.42,化妆品系列,已完成,王芳
CAMP0191,捆绑活动_0191,线下门店,新品推广,2025-06-01,2025-06-26,169957.07,125768.23,水晶系列,计划中,张伟
CAMP0192,新品推广活动_0192,线下门店,买赠,2025-06-01,2025-07-19,37884.0,35232.12,化妆品系列,计划中,张伟
CAMP0193,新品推广活动_0193,经销商,买赠,2025-11-01,2025-11-09,20838.46,20421.69,虹彩系列,计划中,张伟
CAMP0194,捆绑活动_0194,直销,买赠,2025-05-01,2025-06-17,111387.61,111387.61,银白系列,已完成,刘洋
CAMP0195,满减活动_0195,直销,满减,2024-11-01,2024-12-22,16683.04,13846.92,化妆品系列,计划中,李娜
CAMP0196,捆绑活动_0196,直销,买赠,2025-03-01,2025-04-22,67266.7,65921.37,金属彩光系列,已完成,李娜
CAMP0197,买赠活动_0197,线下门店,折扣,2025-05-01,2025-05-15,57156.98,36008.9,银白系列,计划中,刘洋
CAMP0198,新品推广活动_0198,经销商,买赠,2025-01-01,2025-01-18,163628.18,160355.62,玻璃包银系列,计划中,刘洋
CAMP0199,折扣活动_0199,直销,新品推广,2025-05-01,2025-05-27,101987.2,84649.38,着色系列,已完成,王芳
CAMP0200,新品推广活动_0200,直销,捆绑,2024-10-01,2024-10-11,59864.49,52082.11,金属彩光系列,进行中,李娜
