complaint_id,month,complaint_date,customer_id,sku,complaint_type,severity,description,resolved,resolution_days,satisfaction,handler
COMP0096,2024-11,2024-11-26,CUST0164,FWD211,交期延误,紧急,价格争议相关问题，需要跟进处理,False,2,4.2,客服-01
COMP0097,2025-03,2025-03-04,CUST0042,FWD5872A,错误发货,高,服务态度相关问题，需要跟进处理,True,9,4.7,客服-02
COMP0098,2025-11,2025-11-28,CUST0034,FWD435B,价格争议,高,质量问题相关问题，需要跟进处理,True,15,1.9,客服-02
COMP0099,2025-11,2025-11-26,CUST0100,FWD504,交期延误,中,服务态度相关问题，需要跟进处理,True,8,4.9,客服-02
COMP0100,2025-02,2025-02-13,CUST0146,FWD362,服务态度,中,价格争议相关问题，需要跟进处理,True,22,3.9,客服-01
COMP0101,2024-10,2024-10-28,CUST0071,FWD224,价格争议,紧急,质量问题相关问题，需要跟进处理,True,19,4.7,客服-03
COMP0102,2025-06,2025-06-13,CUST0006,FWD152,价格争议,紧急,质量问题相关问题，需要跟进处理,True,4,1.4,客服-03
COMP0103,2025-08,2025-08-07,CUST0164,BHC89232BR,包装破损,中,服务态度相关问题，需要跟进处理,True,27,1.5,客服-01
COMP0104,2025-09,2025-09-28,CUST0296,FWD418B,质量问题,中,错误发货相关问题，需要跟进处理,True,16,4.7,客服-03
COMP0105,2024-10,2024-10-19,CUST0120,FWD5894,交期延误,中,交期延误相关问题，需要跟进处理,True,16,4.9,客服-03
COMP0106,2024-11,2024-11-22,CUST0087,FWD424,包装破损,低,包装破损相关问题，需要跟进处理,True,3,4.5,客服-02
COMP0107,2024-12,2024-12-22,CUST0002,BHC9235BVH,质量问题,低,包装破损相关问题，需要跟进处理,True,23,2.2,客服-01
COMP0108,2025-11,2025-11-23,CUST0082,FWD5518WR,价格争议,低,交期延误相关问题，需要跟进处理,True,3,3.6,客服-03
COMP0109,2025-11,2025-11-16,CUST0259,FWD5895,错误发货,紧急,错误发货相关问题，需要跟进处理,True,21,2.5,客服-02
COMP0110,2025-11,2025-11-22,CUST0118,FWD235,价格争议,紧急,交期延误相关问题，需要跟进处理,True,16,5.0,客服-03
COMP0111,2025-09,2025-09-19,CUST0098,HC010AS,价格争议,高,质量问题相关问题，需要跟进处理,True,5,2.4,客服-01
COMP0112,2025-08,2025-08-09,CUST0164,FWD249,质量问题,低,错误发货相关问题，需要跟进处理,False,19,1.3,客服-02
COMP0113,2024-11,2024-11-22,CUST0251,FWD121WR,交期延误,低,错误发货相关问题，需要跟进处理,True,5,1.8,客服-01
COMP0114,2025-11,2025-11-09,CUST0029,FWD506,包装破损,高,服务态度相关问题，需要跟进处理,True,26,3.3,客服-01
COMP0115,2025-09,2025-09-05,CUST0023,FWD5800,包装破损,高,包装破损相关问题，需要跟进处理,True,5,3.4,客服-02
COMP0116,2025-08,2025-08-06,CUST0262,FWD5892,服务态度,紧急,交期延误相关问题，需要跟进处理,True,8,5.0,客服-01
COMP0117,2025-06,2025-06-06,CUST0251,FWD351,服务态度,紧急,包装破损相关问题，需要跟进处理,False,16,4.7,客服-03
COMP0118,2025-05,2025-05-04,CUST0201,FWD6601,交期延误,紧急,包装破损相关问题，需要跟进处理,True,8,2.8,客服-03
COMP0119,2025-05,2025-05-26,CUST0224,FWD6860,交期延误,紧急,质量问题相关问题，需要跟进处理,True,5,2.3,客服-02
COMP0120,2025-04,2025-04-13,CUST0056,FWD901KSW,交期延误,低,交期延误相关问题，需要跟进处理,True,25,3.2,客服-03
COMP0121,2025-03,2025-03-24,CUST0062,FWD429,服务态度,低,包装破损相关问题，需要跟进处理,True,28,2.0,客服-01
COMP0122,2024-11,2024-11-16,CUST0035,FWD219WR,交期延误,高,服务态度相关问题，需要跟进处理,True,30,2.3,客服-03
COMP0123,2025-03,2025-03-02,CUST0165,BHC9235BVH,价格争议,中,质量问题相关问题，需要跟进处理,True,20,4.2,客服-01
COMP0124,2025-11,2025-11-16,CUST0125,FWD302WR,价格争议,中,错误发货相关问题，需要跟进处理,True,26,4.4,客服-02
COMP0125,2025-03,2025-03-04,CUST0076,FWD415Y,质量问题,中,包装破损相关问题，需要跟进处理,False,10,2.8,客服-03
COMP0126,2025-04,2025-04-01,CUST0201,FWD435B,价格争议,紧急,质量问题相关问题，需要跟进处理,True,19,3.0,客服-02
COMP0127,2025-11,2025-11-27,CUST0272,FWD235,服务态度,低,价格争议相关问题，需要跟进处理,True,19,4.9,客服-01
COMP0128,2025-07,2025-07-08,CUST0079,FWD6601A,包装破损,高,价格争议相关问题，需要跟进处理,False,4,2.4,客服-01
COMP0129,2024-11,2024-11-25,CUST0043,BHC9323PG,质量问题,中,交期延误相关问题，需要跟进处理,True,18,4.1,客服-02
COMP0130,2025-07,2025-07-10,CUST0069,FWD405B,质量问题,高,质量问题相关问题，需要跟进处理,True,24,1.3,客服-01
COMP0131,2025-11,2025-11-13,CUST0120,FWDD21M,价格争议,高,服务态度相关问题，需要跟进处理,True,9,1.7,客服-01
COMP0132,2025-08,2025-08-04,CUST0068,FWD300,质量问题,中,服务态度相关问题，需要跟进处理,True,6,1.1,客服-03
COMP0133,2025-10,2025-10-05,CUST0223,FWD110,服务态度,低,包装破损相关问题，需要跟进处理,True,17,4.0,客服-01
COMP0134,2025-03,2025-03-16,CUST0016,FWDD23X,交期延误,低,包装破损相关问题，需要跟进处理,False,19,4.1,客服-03
COMP0135,2025-02,2025-02-10,CUST0004,FWD408,质量问题,中,质量问题相关问题，需要跟进处理,True,18,3.6,客服-01
COMP0136,2025-10,2025-10-05,CUST0037,BHC9230YBH,质量问题,低,价格争议相关问题，需要跟进处理,True,8,1.8,客服-01
COMP0137,2025-05,2025-05-19,CUST0279,FWD323M,质量问题,低,价格争议相关问题，需要跟进处理,True,6,3.2,客服-03
COMP0138,2025-01,2025-01-04,CUST0220,BHC9320YB,价格争议,紧急,包装破损相关问题，需要跟进处理,True,25,3.8,客服-01
COMP0139,2025-05,2025-05-10,CUST0058,FWD211WR,错误发货,中,包装破损相关问题，需要跟进处理,True,26,3.2,客服-02
COMP0140,2025-01,2025-01-12,CUST0191,FWD5870D,包装破损,紧急,价格争议相关问题，需要跟进处理,True,26,4.8,客服-01
COMP0141,2025-03,2025-03-18,CUST0097,FWD151WR,错误发货,高,价格争议相关问题，需要跟进处理,False,23,2.0,客服-03
COMP0142,2025-01,2025-01-27,CUST0272,FWD6300T,价格争议,高,包装破损相关问题，需要跟进处理,False,28,4.9,客服-03
COMP0143,2025-11,2025-11-14,CUST0085,FWD8205WR,服务态度,高,包装破损相关问题，需要跟进处理,False,19,2.6,客服-03
COMP0144,2025-02,2025-02-22,CUST0215,FWD101,服务态度,高,服务态度相关问题，需要跟进处理,True,30,3.7,客服-01
COMP0145,2024-11,2024-11-02,CUST0263,FWD6500,错误发货,高,质量问题相关问题，需要跟进处理,False,10,3.5,客服-03
COMP0146,2025-04,2025-04-03,CUST0101,FWD362,交期延误,高,错误发货相关问题，需要跟进处理,False,12,4.5,客服-01
COMP0147,2024-10,2024-10-17,CUST0048,FWD300,错误发货,低,交期延误相关问题，需要跟进处理,True,10,3.3,客服-03
COMP0148,2025-09,2025-09-19,CUST0201,FWDV080B,服务态度,高,服务态度相关问题，需要跟进处理,False,15,3.2,客服-01
COMP0149,2025-05,2025-05-13,CUST0093,FWD5800,质量问题,低,质量问题相关问题，需要跟进处理,True,8,2.6,客服-01
COMP0150,2025-05,2025-05-12,CUST0081,FWD151,价格争议,紧急,包装破损相关问题，需要跟进处理,True,25,4.6,客服-03
COMP0151,2024-11,2024-11-02,CUST0064,BHC9326BM ,质量问题,高,服务态度相关问题，需要跟进处理,True,13,3.0,客服-01
COMP0152,2025-10,2025-10-15,CUST0292,FWD123,质量问题,高,价格争议相关问题，需要跟进处理,True,19,2.2,客服-02
COMP0153,2025-06,2025-06-20,CUST0130,FWD6820,交期延误,高,服务态度相关问题，需要跟进处理,False,26,1.8,客服-02
COMP0154,2024-11,2024-11-22,CUST0178,FWD6882,价格争议,高,包装破损相关问题，需要跟进处理,False,1,3.7,客服-01
COMP0155,2025-11,2025-11-05,CUST0188,FWD6683T,质量问题,紧急,价格争议相关问题，需要跟进处理,True,1,2.4,客服-02
COMP0156,2025-02,2025-02-06,CUST0257,FWD504WR,包装破损,紧急,质量问题相关问题，需要跟进处理,True,24,2.0,客服-01
COMP0157,2025-05,2025-05-26,CUST0238,FWD122,质量问题,紧急,包装破损相关问题，需要跟进处理,True,10,1.9,客服-02
COMP0158,2025-07,2025-07-03,CUST0229,FWD001,包装破损,中,错误发货相关问题，需要跟进处理,True,9,4.9,客服-02
COMP0159,2025-02,2025-02-18,CUST0179,HM010AS,交期延误,低,服务态度相关问题，需要跟进处理,True,6,3.3,客服-02
COMP0160,2025-03,2025-03-19,CUST0118,FWD101,质量问题,中,错误发货相关问题，需要跟进处理,True,24,3.9,客服-03
COMP0161,2025-03,2025-03-22,CUST0170,FWD6002,包装破损,紧急,价格争议相关问题，需要跟进处理,True,15,3.1,客服-01
COMP0162,2025-02,2025-02-08,CUST0252,FWDV220,价格争议,紧急,交期延误相关问题，需要跟进处理,True,6,2.2,客服-03
COMP0163,2025-02,2025-02-14,CUST0084,FWD306,价格争议,中,质量问题相关问题，需要跟进处理,True,1,2.2,客服-03
COMP0164,2025-04,2025-04-24,CUST0252,FWD5800,质量问题,中,服务态度相关问题，需要跟进处理,True,2,1.8,客服-02
COMP0165,2025-01,2025-01-21,CUST0052,FWD5872C,交期延误,低,服务态度相关问题，需要跟进处理,True,15,4.0,客服-01
COMP0166,2025-01,2025-01-13,CUST0104,FWD205WR,价格争议,紧急,包装破损相关问题，需要跟进处理,True,12,1.3,客服-01
COMP0167,2025-08,2025-08-25,CUST0095,FWD6602E,质量问题,高,包装破损相关问题，需要跟进处理,True,8,4.7,客服-01
COMP0168,2025-08,2025-08-10,CUST0242,FWD121WR,价格争议,高,质量问题相关问题，需要跟进处理,False,1,2.8,客服-03
COMP0169,2025-10,2025-10-23,CUST0052,FWD111,质量问题,紧急,服务态度相关问题，需要跟进处理,True,2,1.4,客服-02
COMP0170,2025-08,2025-08-17,CUST0170,FWDD21X,包装破损,高,包装破损相关问题，需要跟进处理,True,10,4.9,客服-02
COMP0171,2025-10,2025-10-05,CUST0179,FWD101,服务态度,中,包装破损相关问题，需要跟进处理,True,30,1.6,客服-02
COMP0172,2025-06,2025-06-03,CUST0123,FWD205WR,价格争议,中,错误发货相关问题，需要跟进处理,True,5,2.5,客服-03
COMP0173,2025-09,2025-09-14,CUST0294,FWD524WR,错误发货,高,质量问题相关问题，需要跟进处理,True,28,2.9,客服-03
COMP0174,2025-01,2025-01-12,CUST0042,FWD6003,交期延误,中,错误发货相关问题，需要跟进处理,True,27,2.6,客服-03
COMP0175,2025-08,2025-08-28,CUST0205,FWD502WR,质量问题,中,价格争议相关问题，需要跟进处理,True,24,4.5,客服-02
COMP0176,2025-04,2025-04-23,CUST0054,BHC9227GOH,错误发货,中,错误发货相关问题，需要跟进处理,True,2,4.3,客服-01
COMP0177,2025-03,2025-03-02,CUST0070,BHC89233BR,错误发货,低,服务态度相关问题，需要跟进处理,True,11,1.7,客服-02
COMP0178,2024-10,2024-10-20,CUST0072,FWD6501,价格争议,低,包装破损相关问题，需要跟进处理,True,27,1.4,客服-03
COMP0179,2025-05,2025-05-25,CUST0093,FWD435B,交期延误,高,价格争议相关问题，需要跟进处理,False,16,4.0,客服-01
COMP0180,2025-07,2025-07-27,CUST0091,FWDV020,交期延误,高,交期延误相关问题，需要跟进处理,True,28,4.5,客服-01
COMP0181,2025-07,2025-07-27,CUST0216,BHC9233POH,包装破损,紧急,包装破损相关问题，需要跟进处理,True,18,3.3,客服-01
COMP0182,2025-02,2025-02-19,CUST0227,FWD5800D,错误发货,中,错误发货相关问题，需要跟进处理,True,18,4.9,客服-03
COMP0183,2025-11,2025-11-01,CUST0272,FWD173,错误发货,高,服务态度相关问题，需要跟进处理,True,5,4.6,客服-01
COMP0184,2024-10,2024-10-06,CUST0295,FWD7322B,价格争议,高,服务态度相关问题，需要跟进处理,True,11,3.3,客服-01
COMP0185,2025-02,2025-02-07,CUST0088,FWD205WR,服务态度,高,价格争议相关问题，需要跟进处理,True,9,4.5,客服-01
COMP0186,2025-04,2025-04-20,CUST0017,BHC9230YBH,交期延误,低,质量问题相关问题，需要跟进处理,True,4,3.6,客服-01
COMP0187,2025-08,2025-08-09,CUST0096,FWD6215,质量问题,低,交期延误相关问题，需要跟进处理,True,6,1.2,客服-03
COMP0188,2025-02,2025-02-04,CUST0286,FWD299,交期延误,中,错误发货相关问题，需要跟进处理,True,9,4.0,客服-01
COMP0189,2025-08,2025-08-11,CUST0067,FWD525WR,交期延误,高,价格争议相关问题，需要跟进处理,True,27,2.5,客服-01
COMP0190,2025-09,2025-09-27,CUST0276,FWD430,质量问题,低,错误发货相关问题，需要跟进处理,False,11,1.1,客服-02
COMP0191,2024-10,2024-10-17,CUST0272,FWD534WR,交期延误,高,错误发货相关问题，需要跟进处理,True,20,3.7,客服-03
COMP0192,2024-12,2024-12-06,CUST0298,FWD7351,质量问题,低,质量问题相关问题，需要跟进处理,True,29,3.5,客服-03
COMP0193,2025-06,2025-06-05,CUST0033,FWD111M,交期延误,中,错误发货相关问题，需要跟进处理,True,7,4.8,客服-03
COMP0194,2025-06,2025-06-19,CUST0269,FWD205WR,价格争议,高,错误发货相关问题，需要跟进处理,False,13,2.5,客服-02
COMP0195,2024-10,2024-10-24,CUST0169,FWD6603,错误发货,低,质量问题相关问题，需要跟进处理,True,12,1.6,客服-02
COMP0196,2025-10,2025-10-18,CUST0145,FWD8503WR,价格争议,紧急,包装破损相关问题，需要跟进处理,True,6,3.0,客服-03
COMP0197,2025-03,2025-03-14,CUST0200,FWDV095B,服务态度,低,服务态度相关问题，需要跟进处理,True,5,3.9,客服-02
COMP0198,2025-06,2025-06-11,CUST0096,FWD301,质量问题,紧急,包装破损相关问题，需要跟进处理,True,1,2.0,客服-01
COMP0199,2024-11,2024-11-13,CUST0030,FWD6603B,价格争议,紧急,价格争议相关问题，需要跟进处理,True,4,4.5,客服-02
COMP0200,2025-10,2025-10-13,CUST0154,BHC9232MGH,质量问题,中,错误发货相关问题，需要跟进处理,True,3,4.7,客服-02
COMP0201,2025-05,2025-05-22,CUST0107,FWD405B,服务态度,中,质量问题相关问题，需要跟进处理,True,5,1.4,客服-03
COMP0202,2025-09,2025-09-12,CUST0056,FWD6820,错误发货,高,包装破损相关问题，需要跟进处理,True,15,2.5,客服-03
COMP0203,2024-10,2024-10-15,CUST0020,FWD403,包装破损,高,质量问题相关问题，需要跟进处理,True,13,2.2,客服-02
COMP0204,2025-11,2025-11-16,CUST0017,FWD5871C,包装破损,紧急,质量问题相关问题，需要跟进处理,True,29,4.4,客服-03
